Type,Domain,Prefix,sbr-nl,local,xbrl
roles,ocw,urn:kvk:linkrole:notes-equity-designated-reserve-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-noncurrent-liabilities-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-income-on-third-party-contracts-breakdown-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-noncurrent-liabilities-payables-other-noncurrent-movement-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-equity-designated-reserve-public-movement-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-income-on-third-party-contracts-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-receivables-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-accounting-principles-assets-liabilities-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-government-contributions-income-transfers-school-boards-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:continuity-paragraph-consolidated-staffing-level-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:continuity-paragraph-income-expenses-statement-budget-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-income-expenses-statement-segmentation-sectors-education,False,True,False
roles,ocw,urn:ocw:linkrole:accountability-workload-resources-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-central-government-contributions-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-subsidy-income-any-surplus-added-to-lump-sum-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:classes-of-overhead-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-equity-designated-reserve-private-movement-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-tuition-course-training-exam-fees-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-tuition-course-training-exam-fees-education,False,True,False
roles,ocw,urn:ocw:linkrole:overhead-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-noncurrent-liabilities-movement-education,False,True,False
roles,ocw,urn:kvk:linkrole:designated-fund-private-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-financial-income-expense-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-receivables-breakdown-maturity-education,False,True,False
roles,ocw,urn:kvk:linkrole:continuity-paragraph-consolidated-income-expenses-statement-budget-education,False,True,False
roles,ocw,urn:kvk:linkrole:report-of-the-management-board-financial-support-fund-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-inventories-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-government-contributions-and-subsidies-other-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-accounting-principles-result-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-current-liabilities-payables-other-current-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-central-government-contributions-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-current-liabilities-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-consolidated-government-contributions-and-subsidies-other-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-provisions-movement-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-equity-designated-fund-public-movement-specification-education,False,True,False
roles,ocw,urn:ocw:linkrole:notes-consolidated-subsidies-provided-breakdown-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-receivables-receivables-other-related-parties-current-specification-education,False,True,False
roles,ocw,urn:kvk:linkrole:notes-subsequent-events,False,True,False
